epoch,lr-AdamW,step,train/loss,val/acc,val/loss
,0.003,0,,,
0,,9,0.25557130575180054,,
0,,19,0.9584205150604248,,
0,,29,0.3434901833534241,,
0,,39,0.22394856810569763,,
0,,49,0.0,,
0,,59,0.0,,
0,,69,0.2887686491012573,,
0,,79,0.0,,
0,,89,0.0,,
0,,99,0.7634059190750122,,
0,,109,0.0,,
0,,119,1.0774884223937988,,
0,,129,0.5290075540542603,,
0,,139,0.9967154264450073,,
0,,149,0.6295044422149658,,
0,,159,0.33091825246810913,,
0,,169,0.0,,
0,,179,0.9356944561004639,,
0,,189,0.5729597806930542,,
0,,199,0.8961485624313354,,
0,,199,,0.05666666850447655,0.4880692958831787
,0.003,200,,,
1,,209,0.6712812185287476,,
1,,219,1.2903119325637817,,
1,,229,1.1936918497085571,,
1,,239,0.3597533106803894,,
1,,249,0.6146596670150757,,
1,,259,0.6485028266906738,,
1,,269,0.2588956654071808,,
1,,279,0.24387839436531067,,
1,,289,0.30841612815856934,,
1,,299,0.8096117973327637,,
1,,309,0.3340586721897125,,
1,,319,0.0,,
1,,329,0.0,,
1,,339,1.0779719352722168,,
1,,349,0.34008872509002686,,
1,,359,0.282815158367157,,
1,,369,0.5176178216934204,,
1,,379,1.202309489250183,,
1,,389,0.6680720448493958,,
1,,399,0.8978575468063354,,
1,,399,,0.06666666269302368,0.4740557372570038
,0.003,400,,,
2,,409,0.5736880302429199,,
